Kód;Název;Nuts5;
500101;Bražec;CZ0412500101;
500127;Doupovské Hradiště;CZ0412500127;
500135;Kozlov;CZ0712500135;
500151;Luboměř pod Strážnou;CZ0714500151;
500160;Město Libavá;CZ0712500160;
500194;Polná na Šumavě;CZ0312500194;
500011;Želechovice nad Dřevnicí;CZ0724500011;
500020;Petrov nad Desnou;CZ0715500020;
500046;Libhošť;CZ0804500046;
500062;Krhová;CZ0723500062;
500071;Poličná;CZ0723500071;
500259;Veřovice;CZ0804500259;
500291;Vřesina;CZ0806500291;
500496;Olomouc;CZ0712500496;
500526;Bělkovice-Lašťany;CZ0712500526;
500623;Bílá Lhota;CZ0712500623;
500801;Blatec;CZ0712500801;
500852;Bohuňovice;CZ0712500852;
500861;Bouzov;CZ0712500861;
500879;Bystročice;CZ0712500879;
501476;Dlouhá Loučka;CZ0712501476;
501646;Dolany;CZ0712501646;
501751;Drahanovice;CZ0712501751;
501794;Dub nad Moravou;CZ0712501794;
501841;Grygov;CZ0712501841;
502146;Hlubočky;CZ0712502146;
502235;Hněvotín;CZ0712502235;
502405;Hnojice;CZ0712502405;
502545;Horka nad Moravou;CZ0712502545;
502839;Cholina;CZ0712502839;
503142;Jívová;CZ0712503142;
503304;Kožušany-Tážaly;CZ0712503304;
503410;Žitovlice;CZ0208503410;
503444;Litovel;CZ0712503444;
503622;Luká;CZ0712503622;
503657;Lutín;CZ0712503657;
503738;Majetín;CZ0712503738;
503916;Kostelec;CZ0327503916;
503941;Libavá;CZ0712503941;
504246;Mladeč;CZ0712504246;
504301;Dřenice;CZ0531504301;
504441;Náklo;CZ0712504441;
504505;Náměšť na Hané;CZ0712504505;
504785;Paseka;CZ0712504785;
504807;Lány;CZ0531504807;
504921;Třibřichy;CZ0531504921;
504955;Dvakačovice;CZ0531504955;
505005;Bítovany;CZ0531505005;
505013;Příkazy;CZ0712505013;
505030;Dolní Bezděkov;CZ0531505030;
505081;Senice na Hané;CZ0712505081;
505099;Červená Hora;CZ0523505099;
505111;Slatinice;CZ0712505111;
505145;Březová nad Svitavou;CZ0533505145;
505161;Štěpánov;CZ0712505161;
505188;Šternberk;CZ0712505188;
505218;Šumvald;CZ0712505218;
505269;Těšetice;CZ0712505269;
505293;Troubelice;CZ0712505293;
505366;Tršice;CZ0712505366;
505391;Bělá u Jevíčka;CZ0533505391;
505501;Újezd;CZ0712505501;
505528;Jenčice;CZ0423505528;
505587;Uničov;CZ0712505587;
505609;Velká Bystřice;CZ0712505609;
505650;Velký Týnec;CZ0712505650;
505668;Velký Újezd;CZ0712505668;
505781;Zápy;CZ0209505781;
505862;Žerotín;CZ0712505862;
505927;Opava;CZ0805505927;
506192;Bohuslavice;CZ0805506192;
506214;Bolatice;CZ0805506214;
506320;Brumovice;CZ0805506320;
506451;Březová;CZ0805506451;
506460;Budišov nad Budišovkou;CZ0805506460;
506486;Boží Dar;CZ0412506486;
506494;Nové Hamry;CZ0412506494;
506621;Čichalov;CZ0412506621;
506664;Skořice;CZ0326506664;
506699;Otmarov;CZ0643506699;
506702;Dolní Benešov;CZ0805506702;
506711;Dolní Lhota;CZ0806506711;
506729;Dvorce;CZ0632506729;
506737;Chvalčov;CZ0721506737;
506753;Háj ve Slezsku;CZ0805506753;
506761;Alojzov;CZ0713506761;
506770;Seloutky;CZ0713506770;
507016;Hlučín;CZ0805507016;
507091;Nýdek;CZ0802507091;
507105;Hněvošice;CZ0805507105;
507113;Holasovice;CZ0805507113;
507181;Pržno;CZ0802507181;
507237;Komorní Lhotka;CZ0802507237;
507261;Hrabyně;CZ0805507261;
507270;Hradec nad Moravicí;CZ0805507270;
507334;Chuchelná;CZ0805507334;
507377;Jakartovice;CZ0805507377;
507423;Janovice;CZ0802507423;
507458;Košařiska;CZ0802507458;
507504;Kobeřice;CZ0805507504;
507547;Milíkov;CZ0802507547;
507580;Kravaře;CZ0805507580;
507610;Doňov;CZ0313507610;
507628;Pleše;CZ0313507628;
507644;Újezdec;CZ0313507644;
507652;Višňová;CZ0313507652;
507695;Záhoří;CZ0313507695;
507717;Peč;CZ0313507717;
