Kód;Název;
CZ;Česká republika;
CZ0;Česká republika;
CZ01;Praha;
CZ010;Hlavní město Praha;
CZ02;Střední Čechy;
CZ020;Středočeský kraj;
CZ03;Jihozápad;
CZ031;Jihočeský kraj;
CZ032;Plzeňský kraj;
CZ04;Severozápad;
CZ041;Karlovarský kraj;
CZ042;Ústecký kraj;
CZ05;Severovýchod;
CZ051;Liberecký kraj;
CZ052;Královéhradecký kraj;
CZ053;Pardubický kraj;
CZ06;Jihovýchod;
CZ063;Vysočina;
CZ064;Jihomoravský kraj;
CZ07;Střední Morava;
CZ071;Olomoucký kraj;
CZ072;Zlínský kraj;
CZ08;Moravskoslezsko;
CZ080;Moravskoslezský kraj;
CZZ;Extra-Regio;
CZZZ;Extra-Regio;
CZZZZ;Extra-Regio;
